user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
249818911,-95.22737,29.42328,9/17/2017,Closed due to accident in #Alvin on Hwy 6 SB between TX-35 and Algoa Friendswood Rd #traffic https://t.co/vuUN2ymKeH,Texas,Fort Bend County,Sandy Point,1,0,0,0
249818911,-95.52993,30.08649,8/28/2017,Closed due to flooding. in #Spring on Hwy 99 Grand Pkwy WB after Spg Stuebner Rd #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Willow,1,1,1,0
94722570,-95.39987703,29.48130658,8/27/2017,Just posted a video @ 288 @ Hwy 6 https://t.co/Zc6y6NZpBL,Texas,Brazoria County,Manvel,0,0,0,
244281354,-97.82581,30.45539,9/4/2017,Accident in #CedarPark on Anderson Mill Rd at Hwy RR 620 #ATXtraffic https://t.co/8laei8iLor,Texas,Williamson County,Austin,1,0,0,0
249818911,-95.38622,29.59203,9/8/2017,"Stall blocks a left lane in #SouthSide on Hwy 288 S Fwy Outbound at The S Sam Houston Tollway, stop and go traffic back to Orem #traffic",Texas,Harris County,Pearland,1,0,0,0
249818911,-95.50965,29.93208,9/20/2017,"Accident. right shoulder blocked. in #Northside on Hwy 249 Inbound before The N Sam Houston Tollway, stop and go traffic back to Spg Cypress",Texas,Harris County,Hudson,1,0,0,0
{'$numberLong': '2424217524'},-98.3821806,30.1683215,8/25/2017,Heading North on Hwy 281?  Come see us at #andalusiawhiskey   Remember it's?? https://t.co/gYyunU03yO,Texas,Blanco County,Blanco,0,0,0,
249818911,-95.64478,29.78426,9/16/2017,Closed due to flooding in #WestSide on Hwy 6 NB between I-10 and Clay Rd. #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
249818911,-95.28638,29.60018,9/1/2017,Closed due to high water in #Harris on S Sam Houston Pkwy Frontage Rd EB between Hwy 35 and Blackhawk Blvd #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
249818911,-95.75636,29.87526,8/28/2017,High water affecting all lanes in #Cypress on Hwy 99 Grand Pkwy Frontage Rd SB at Freeman Rd #traffic https://t.co/vuUN2yElDh,Texas,Harris County,West Grand Parkway North,1,1,1,0
41679815,-97.0931,32.67976,9/12/2017,"Accident, right lane blocked in #Arlington on 20 WB at Collins St, stop and go traffic back to Hwy 161 Bush Tnpke, delay of 10 mins",Texas,Tarrant County,Arlington,1,0,0,0
41679815,-96.8118,32.86216,9/14/2017,"Accident, left lane blocked in #Dallas on Dallas N Tollway NB at NW Hwy, stop and go traffic back to Harry Hines Blvd, delay of 14 mins",Texas,Dallas County,University Park,1,0,0,0
249818911,-95.3746,29.70179,9/6/2017,"Stop and go traffic in #Downtown on Hwy 288 S Fwy Inbound between Holcombe and I-45, delay of 9 mins #traffic https://t.co/vuUN2yElDh",Texas,Harris County,Houston,1,0,0,0
249818911,-95.37491,29.73285,9/20/2017,Accident reported in #Downtown on US-69 SB at Hwy 288 #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,0,0,0
41679815,-97.03994,32.94531,9/12/2017,"Accident. only left lane gets by in #Grapevine on 121 SB at 635 Lbj Frwy, stopped traffic back to Business Hwy 121, delay of 27 mins",Texas,Tarrant County,Grapevine,1,0,0,0
249818911,-95.38122,29.68057,8/30/2017,"Flooding receded, road re-opened. please drive with caution on Hwy 288 S Fwy NB between The S Lp and 69 SW Fwy #traffic",Texas,Harris County,Houston,1,1,1,0
250302410,-106.4967,31.76974,8/30/2017,Accident on Hwy 20 north of Schuster Ave #traffic https://t.co/nZ2qPHc0XJ,Texas,El Paso County,El Paso,1,0,0,0
41679815,-96.68823,32.87881,8/22/2017,"Vehicle fire blocks the hov and three left lanes in #Dallas on 635 LBJ Fwy WB at Kingsley Rd, stop and go traffic back to NW Hwy #DFWTraffic",Texas,Dallas County,Garland,1,0,0,0
41679815,-97.2422,32.66576,9/15/2017,"Accident, left lane blocked in #ForestHill on 20 EB at Mansfield Hwy, stop and go traffic back to Wichita St, delay of 7 mins #DFWTraffic",Texas,Tarrant County,Forest Hill,1,0,0,0
249818911,-95.5643,29.60071,8/29/2017,High water affecting all lanes in #FortBend on Hwy 1092 SB after Lexington Blvd #traffic https://t.co/vuUN2ymKeH,Texas,Fort Bend County,Missouri City,1,1,1,0
249818911,-95.50965,29.93208,9/13/2017,"Three right lanes blocked. in #Northside on Hwy 249 SB at The N Sam Houston Tollway, stopped traffic back to Grant Rd., delay of 20 mins",Texas,Harris County,Hudson,1,0,0,0
{'$numberLong': '715211464953319424'},-97.3207444,29.62491389,8/28/2017,"#USGS08174200 - Sandy Fork Ck at Hwy 97 nr Waelder, TX 
Heavy Rain (0.44 in/hr) over the last 15 minutes 
https://t.co/jU7q1LExiH",Texas,Gonzales County,Saturn,0,0,0,
58624342,-96.77401775,32.79755357,8/25/2017,"NEW: Line of cars near Kennedy, Tx heading north on Hwy 181 away from the gulf coast. HurricaneHarvey https://t.co/A24CFDJAZ0",Texas,Dallas County,Dallas,1,1,0,0
249818911,-95.54408,29.78411,9/8/2017,"Stop and go traffic in #WestSide on I-10 katy Fwy Outbound between Gessner and Hwy 6, accident cleared at Hwy 6, delay of 18 mins #traffic",Texas,Harris County,Houston,1,0,0,0
249818911,-95.64565,29.836,9/15/2017,Closed due to flooding in #WestSide on Hwy 6 SB between Clay Rd. and I-10 #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,TX 6,1,1,1,0
244281354,-97.74237,30.36815,8/29/2017,"Disabled vehicle, caution in #Austin on Steck Ave at Hwy 1 Lp #ATXtraffic https://t.co/8laei8iLor",Texas,Travis County,Austin,1,0,0,0
41679815,-97.30728,32.74808,9/11/2017,"Accident cleared in #FortWorth on 30 WB at Hwy 287, stop and go traffic back to Woodhaven Blvd, delay of 10 mins #DFWTraffic",Texas,Tarrant County,Fort Worth,1,0,0,0
249818911,-95.22814,29.70766,8/31/2017,Incident cleared in #Pasadena on Hwy 225 La Porte Fwy Outbound between Scarborough and Shaver #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Pasadena,1,0,0,0
244281354,-97.7273,30.1012,8/30/2017,Accident in #Austin on FM 1625 at Old Lockhart Hwy #ATXtraffic https://t.co/8laei8AmfZ,Texas,Travis County,Creedmoor,1,0,0,0
249818911,-95.17574,29.83164,9/12/2017,"Accident.  left lane blocked in #EastSide on E Sam Houston Pkwy SB at US-90, stop and go traffic back to Old Beaumont Hwy, delay of 3 mins",Texas,Harris County,Houston,1,0,0,0
41679815,-97.26409,32.83939,8/21/2017,Closed. sinkhole repair in #HaltomCity on N Lp 820 Frontage Rd WB between Denton Hwy and Haltom Rd #DFWTraffic https://t.co/4NzBppXRvr,Texas,Tarrant County,Haltom City,1,0,0,0
249818911,-95.57492,29.99272,8/29/2017,Closed due to flooding. in #Tomball on Hwy 249 Tomball Pkwy SB at Compaq Ctr Dr #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
250302410,-106.5671,31.8387,9/18/2017,Accident in #ElPaso on Hwy 20 NB at Remcon Cir #traffic https://t.co/nZ2qPGUpz9,Texas,El Paso County,El Paso,1,0,0,0
249876171,-98.55465,29.49409,9/11/2017,"Accident cleared in #SanAntonio on Lp 410 EB at Fredericksburg Rd, stop and go traffic back to Hwy 151, delay of 20 mins #traffic",Texas,Bexar County,San Antonio,1,0,0,0
{'$numberLong': '715209574802784256'},-97.6886138,30.17798987,8/27/2017,"#USGS08159000 - Onion Ck at US Hwy 183, Austin, TX
Height: 18.68ft ??? (17ft)
Flow: 8300cfs
https://t.co/byFOXjoddU",Texas,Travis County,Pilot Knob,0,0,0,
244281354,-97.76917,30.27695,9/18/2017,Injury accident in #Austin on E 6th St near Hwy 1 Lp #ATXtraffic https://t.co/8laei8AmfZ,Texas,Travis County,Austin,1,0,0,0
{'$numberLong': '715209574802784256'},-97.6886138,30.17798987,8/27/2017,"#USGS08159000 - Onion Ck at US Hwy 183, Austin, TX
Height: 18.95ft ??? (17ft)
Flow: 8600cfs
https://t.co/MGpPVzcZSl",Texas,Travis County,Pilot Knob,0,0,0,
{'$numberLong': '876475766644625410'},-96.871239,32.855915,8/28/2017,"Major #Traffic #Accident near 3004-3012 W Northwest Hwy, #Dallas, TX 75220, USA https://t.co/9dVvyodZod",Texas,Dallas County,Dallas,1,0,0,0
249818911,-95.38746,29.55588,8/25/2017,"Accident cleared in #Broadway on Hwy 288 S Fwy Outbound approaching FM 518, stop and go traffic back to Mchard, delay of 4 mins #traffic",Texas,Brazoria County,Pearland,1,0,0,0
249876171,-98.64955,29.39731,8/22/2017,"Closed due to road construction in #Bexar on Hwy 90 EB between Lp 410 and Military Dr, stopped traffic back to Lp 1604, delay of 13 mins",Texas,Bexar County,San Antonio,1,0,0,0
{'$numberLong': '715209574802784256'},-97.6886138,30.17798987,8/27/2017,"#USGS08159000 - Onion Ck at US Hwy 183, Austin, TX
Height: 18.5ft ??? (17ft)
Flow: 8120cfs
https://t.co/gvL8ZsbukW",Texas,Travis County,Pilot Knob,0,0,0,
41679815,-96.79748,33.09986,9/7/2017,"Accident cleared in #Plano on Hwy 121 Sam Rayburn Tollway SB after Ohio Dr, stopped traffic back to Custer Rd, delay of 37 mins #DFWTraffic",Texas,Collin County,Frisco,1,0,0,0
41679815,-96.78823,33.10468,9/20/2017,"Accident cleared in #Frisco on Hwy 121 Sam Rayburn Tollway SB at Hillcrest Rd, stop and go traffic back to Coit Rd, delay of 4 mins",Texas,Collin County,Frisco,1,0,0,0
244281354,-97.87465,30.23324,9/6/2017,"Accident reported in #Travis on US-290 EB approaching Hwy 71, stop and go traffic back to El Rey Boulevard, delay of 19 mins #ATXtraffic",Texas,Travis County,Austin,1,0,0,0
249818911,-95.64545,29.81329,8/30/2017,High water affecting all main lanes in #WestSide on Hwy 6 SB at Patterson #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
249818911,-95.38687,29.63845,9/6/2017,"Disabled vehicle, center lane blocked in #SouthSide on Hwy 288 S Fwy Inbound at Airport, stop and go traffic back to Mchard #traffic",Texas,Harris County,Houston,1,0,0,0
244281354,-97.7037,30.33258,9/6/2017,"Accident cleared in #Austin on I 35 SB after Hwy 183, stop and go traffic back to Rundberg Ln, delay of 5 mins #ATXtraffic",Texas,Travis County,Austin,1,0,0,0
249818911,-95.24492,29.70585,9/20/2017,"Accident. two left lanes blocked. in #Pasadena on Hwy 225 La Porte Fwy WB at Allen Genoa, stop and go traffic back to Red Bluff #traffic",Texas,Harris County,Houston,1,0,0,0
249818911,-94.9655,29.9875,9/1/2017,Closed due to chemical plant emergency. in #NearDayton on Hwy 90 WB between F.M. 1413 and Crosby Lynchburg #traffic https://t.co/vuUN2ymKeH,Texas,Liberty County,Dayton,1,0,0,0
249818911,-95.24492,29.70585,9/20/2017,"Accident cleared in #Pasadena on Hwy 225 La Porte Fwy WB at Allen Genoa, stopped traffic back to Preston, delay of 30 mins #traffic",Texas,Harris County,Houston,1,0,0,0
32242967,-95.11013957,29.7091743,9/17/2017,Love this joint ð¯ð¤ð¼ðð¤ð¼ @ Hwy 225 https://t.co/I0RGvfR5VS,Texas,Harris County,Deer Park,0,0,0,
249818911,-95.29603,29.93993,8/28/2017,High water affecting all lanes in #Harris on Beltway 8 N Frontage Rd WB between Hwy 59 and Hardy Toll Rd #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
249818911,-95.3746,29.70179,8/20/2017,"Accident, right lane blocked on Hwy 288 SB at Holcombe #traffic https://t.co/vuUN2yElDh",Texas,Harris County,Houston,1,0,0,0
249818911,-95.37661,29.70892,9/10/2017,"Accident blocking two left lanes in #Downtown on Hwy 288 SB at Macgregor, stop and go traffic back to Southmore, delay of 3 mins #traffic",Texas,Harris County,Houston,1,0,0,0
41679815,-97.07065,32.83725,8/31/2017,"Accident cleared in #Euless on 183 WB at American Blvd, stop and go traffic back to Hwy 161, delay of 11 mins #DFWTraffic",Texas,Tarrant County,Euless,1,0,0,0
244281354,-97.69079,30.24313,9/11/2017,Accident reported in #Austin on Montopolis Dr at S Hwy 183 #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
249818911,-95.37253,29.72874,8/29/2017,Water receded but high still closed on Hwy 288 S Fwy SB between 69 SW Fwy and The S Lp #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
{'$numberLong': '715209574802784256'},-95.4179936,29.95688886,8/27/2017,"#USGS08075900 - Greens Bayou nr US Hwy 75 nr Houston, TX
Height: 85.07ft ??? (84.8ft)
Flow: 11100cfs
https://t.co/Vm3tqsdeX1",Texas,Harris County,North Houston District,0,0,0,
249818911,-95.22814,29.70766,8/29/2017,Closed due to flooding. in #Pasadena on Hwy 225 La Porte Fwy Outbound between Scarborough and Shaver #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Pasadena,1,1,1,0
249876171,-98.53078,29.39903,9/6/2017,"Disabled vehicle cleared in #SanAntonio on Hwy 90 EB approaching S Zarzamora, stop and go traffic back to Cupples, delay of 3 mins #traffic",Texas,Bexar County,San Antonio,1,0,0,0
249818911,-95.56298,29.86916,9/11/2017,Accident blocks a left lane in #WestSide on W sam houston tollway NB at Hwy 290 #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,0,0,0
{'$numberLong': '715209574802784256'},-95.4179936,29.95688886,8/27/2017,"#USGS08075900 - Greens Bayou nr US Hwy 75 nr Houston, TX
Height: 85.13ft ??? (84.8ft)
Flow: 11100cfs
https://t.co/f9OZIZu6L0",Texas,Harris County,North Houston District,0,0,0,
249818911,-95.64484,29.78785,8/28/2017,High water affecting all main lanes in #Houston on Hwy 6 NB at PARK ROW #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
41679815,-96.90217,32.86007,9/7/2017,"Road construction, right lane closed in #Dallas on Lp 12 NB near NW Hwy, stop and go traffic back to 114, delay of 5 mins #DFWTraffic",Texas,Dallas County,Dallas,1,0,0,0
249818911,-95.19736,29.71227,8/27/2017,Flooding in #Pasadena on Hwy 225 La Porte Fwy Frontage rd EB at Red Bluff #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Pasadena,1,1,1,0
41679815,-96.64011,32.68643,9/14/2017,"Accident, right lane blocked in #Dallas on 20 WB at Haymarket Rd, stop and go traffic back to Hwy 175, delay of 1 min #DFWTraffic",Texas,Dallas County,Dallas,1,0,0,0
250302410,-106.5504,31.8356,9/6/2017,Accident in #ElPaso on Resler Dr NB at Hwy 20 #traffic https://t.co/nZ2qPHc0XJ,Texas,El Paso County,El Paso,1,0,0,0
1445327550,-95.25454489,30.03758745,8/29/2017,"Hwy 59 @ Sorters RD Humble, Tx 2017 @ U Turn Crossfit https://t.co/tHKHB8rkOb",Texas,Harris County,Houston,0,0,0,
{'$numberLong': '715209574802784256'},-97.6886138,30.17798987,8/27/2017,"#USGS08159000 - Onion Ck at US Hwy 183, Austin, TX
Height: 18.59ft ??? (17ft)
Flow: 8210cfs
https://t.co/I1xwDqlAJv",Texas,Travis County,Pilot Knob,0,0,0,
41679815,-97.31741,32.76483,9/14/2017,"Accident, left lane blocked in #FortWorth on 35W NB before Hwy 121, stopped traffic back to Allen Ave, delay of 24 mins #DFWTraffic",Texas,Tarrant County,Fort Worth,1,0,0,0
249876171,-98.66365,29.44315,9/14/2017,"Accident cleared in #WestSide on Hwy 151 EB at Potranco, stop and go traffic back to Westover Hills, delay of 7 mins #traffic",Texas,Bexar County,San Antonio,1,0,0,0
250302410,-106.2678,31.80634,8/31/2017,Accident in #ElPaso on Montana Ave EB at Hwy 375 Lp #traffic https://t.co/nZ2qPHc0XJ,Texas,El Paso County,El Paso,1,0,0,0
